snippet_idx,persona_row_id,k,combo_id,combo_attrs,combo_values,Gender,Race,Ethnicity,Nationality,Culture,NativeLanguage,AgeRange,ReviewStyle,Role,Goal,Seniority,Domain,Priority,Standard,Module,ground_truth,predicted_label,raw_response
0,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
1,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,0,LABEL: 0
2,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
3,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
4,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,0,LABEL: 0
5,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,0,LABEL: 0
6,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,0,LABEL: 0
7,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
8,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
9,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
10,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
11,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
12,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
13,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
14,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,0,LABEL: 0
15,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
16,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
17,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
18,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
19,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,0,LABEL: 0
20,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
21,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,1,LABEL: 1
22,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
23,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,0,0,LABEL: 0
24,1,2,1,Gender|Race,NonBinary|Latino,NonBinary,Latino,,,,,,,,,,,,,,1,1,LABEL: 1
