k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
1,,AgeRange,Aged,50.0,0.0,0.44,0.44,0.44,0.44,0.82
1,,AgeRange,Elderly,50.0,0.0,0.44,0.4444,0.48,0.4615,0.78
1,,AgeRange,LateCareerAdult,50.0,0.0,0.36,0.3478,0.32,0.3333,0.78
1,,AgeRange,MiddleAged,50.0,0.0,0.4,0.4074,0.44,0.4231,0.82
1,,AgeRange,YoungAdult,50.0,0.0,0.38,0.375,0.36,0.3673,0.76
1,,Culture,EgyptianCulture,50.0,0.0,0.46,0.4615,0.48,0.4706,0.8
1,,Culture,FrenchCulture,50.0,0.0,0.44,0.4444,0.48,0.4615,0.78
1,,Culture,GermanCulture,50.0,0.0,0.5,0.5,0.48,0.4898,0.76
1,,Culture,IndianCulture,50.0,0.0,0.42,0.4,0.32,0.3556,0.72
1,,Culture,ThaiCulture,50.0,0.0,0.52,0.5294,0.36,0.4286,0.66
1,,Domain,Backend,50.0,0.0,0.48,0.4839,0.6,0.5357,0.9
1,,Domain,DevOps,50.0,0.0,0.4,0.4138,0.48,0.4444,0.82
1,,Domain,Embedded,50.0,0.0,0.48,0.4815,0.52,0.5,0.78
1,,Domain,Mobile,50.0,0.0,0.42,0.4231,0.44,0.4314,0.76
1,,Domain,PlatformEng,50.0,0.0,0.34,0.3462,0.36,0.3529,0.76
1,,Ethnicity,AsianBangladeshi,50.0,0.0,0.38,0.3846,0.4,0.3922,0.8
1,,Ethnicity,AsianChinese,50.0,0.0,0.44,0.4286,0.36,0.3913,0.74
1,,Ethnicity,BlackCaribbean,50.0,0.0,0.46,0.4545,0.4,0.4255,0.76
1,,Ethnicity,OtherMixed,50.0,0.0,0.44,0.4286,0.36,0.3913,0.7
1,,Ethnicity,WhiteIrish,50.0,0.0,0.38,0.35,0.28,0.3111,0.68
1,,Gender,Demigender,50.0,0.0,0.4,0.3913,0.36,0.375,0.78
1,,Gender,NonBinary,50.0,0.0,0.46,0.45,0.36,0.4,0.72
1,,Gender,PreferNotToSay,50.0,0.0,0.5,0.5,0.48,0.4898,0.72
1,,Gender,TwoSpirit,50.0,0.0,0.46,0.4545,0.4,0.4255,0.72
1,,Gender,Woman,50.0,0.0,0.48,0.4737,0.36,0.4091,0.66
1,,Goal,FastDelivery,50.0,0.0,0.38,0.3929,0.44,0.4151,0.76
1,,Goal,MaintainableCode,50.0,0.0,0.46,0.4688,0.6,0.5263,0.8
1,,Goal,ReadableCode,50.0,0.0,0.44,0.4545,0.6,0.5172,0.94
1,,Goal,WellDocumentedCode,50.0,0.0,0.44,0.4595,0.68,0.5484,0.94
1,,Goal,WellTestedCode,50.0,0.0,0.44,0.4483,0.52,0.4815,0.82
1,,Module,APIModule,50.0,0.0,0.38,0.3846,0.4,0.3922,0.8
1,,Module,AuthenticationModule,50.0,0.0,0.48,0.4783,0.44,0.4583,0.7
1,,Module,DatabaseModule,50.0,0.0,0.46,0.4643,0.52,0.4906,0.84
1,,Module,FrontendUIModule,50.0,0.0,0.4,0.4138,0.48,0.4444,0.78
1,,Module,UserProfileModule,50.0,0.0,0.44,0.44,0.44,0.44,0.78
1,,Nationality,Austrian,50.0,0.0,0.42,0.4,0.32,0.3556,0.72
1,,Nationality,Danish,50.0,0.0,0.38,0.3929,0.44,0.4151,0.84
1,,Nationality,Ethiopian,50.0,0.0,0.5,0.5,0.48,0.4898,0.76
1,,Nationality,Russian,50.0,0.0,0.48,0.4762,0.4,0.4348,0.74
1,,Nationality,Saudi,50.0,0.0,0.46,0.4583,0.44,0.449,0.8
1,,NativeLanguage,EnglishLang,50.0,0.0,0.44,0.44,0.44,0.44,0.78
1,,NativeLanguage,GermanLang,50.0,0.0,0.46,0.4615,0.48,0.4706,0.8
1,,NativeLanguage,KoreanLang,50.0,0.0,0.44,0.4348,0.4,0.4167,0.78
1,,NativeLanguage,PolishLang,50.0,0.0,0.4,0.3913,0.36,0.375,0.78
1,,NativeLanguage,TeluguLang,50.0,0.0,0.44,0.4348,0.4,0.4167,0.74
1,,Priority,Performance,50.0,0.0,0.42,0.4333,0.52,0.4727,0.84
1,,Priority,Portability,50.0,0.0,0.46,0.45,0.36,0.4,0.64
1,,Priority,Scalability,50.0,0.0,0.46,0.4286,0.24,0.3077,0.6
