k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
1,,AgeRange,Aged,50.0,0.0,0.52,0.5128,0.8,0.625,0.92
1,,AgeRange,Elderly,50.0,0.0,0.48,0.4872,0.76,0.5938,0.96
1,,AgeRange,LateCareerAdult,50.0,0.0,0.54,0.5238,0.88,0.6567,0.94
1,,AgeRange,MiddleAged,50.0,0.0,0.56,0.5366,0.88,0.6667,0.88
1,,AgeRange,YoungAdult,50.0,0.0,0.54,0.525,0.84,0.6462,0.86
1,,Culture,EgyptianCulture,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
1,,Culture,FrenchCulture,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,Culture,GermanCulture,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,Culture,IndianCulture,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
1,,Culture,ThaiCulture,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
1,,Domain,Backend,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
1,,Domain,DevOps,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
1,,Domain,Embedded,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,Domain,Mobile,50.0,0.0,0.52,0.5135,0.76,0.6129,0.88
1,,Domain,PlatformEng,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
1,,Ethnicity,AsianBangladeshi,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
1,,Ethnicity,AsianChinese,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,Ethnicity,BlackCaribbean,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
1,,Ethnicity,OtherMixed,50.0,0.0,0.52,0.5128,0.8,0.625,0.92
1,,Ethnicity,WhiteIrish,50.0,0.0,0.56,0.5385,0.84,0.6562,0.88
1,,Gender,Demigender,50.0,0.0,0.52,0.5128,0.8,0.625,0.96
1,,Gender,NonBinary,50.0,0.0,0.52,0.5143,0.72,0.6,0.84
1,,Gender,PreferNotToSay,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,Gender,TwoSpirit,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
1,,Gender,Woman,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
1,,Goal,FastDelivery,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
1,,Goal,MaintainableCode,50.0,0.0,0.58,0.5455,0.96,0.6957,0.86
1,,Goal,ReadableCode,50.0,0.0,0.56,0.5366,0.88,0.6667,0.88
1,,Goal,WellDocumentedCode,50.0,0.0,0.54,0.525,0.84,0.6462,0.94
1,,Goal,WellTestedCode,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,Module,APIModule,50.0,0.0,0.52,0.5135,0.76,0.6129,0.92
1,,Module,AuthenticationModule,50.0,0.0,0.46,0.4615,0.48,0.4706,0.7
1,,Module,DatabaseModule,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
1,,Module,FrontendUIModule,50.0,0.0,0.5,0.5,0.72,0.5902,0.9
1,,Module,UserProfileModule,50.0,0.0,0.54,0.5263,0.8,0.6349,0.94
1,,Nationality,Austrian,50.0,0.0,0.58,0.5526,0.84,0.6667,0.86
1,,Nationality,Danish,50.0,0.0,0.5,0.5,0.76,0.6032,0.94
1,,Nationality,Ethiopian,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
1,,Nationality,Russian,50.0,0.0,0.52,0.5143,0.72,0.6,0.84
1,,Nationality,Saudi,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
1,,NativeLanguage,EnglishLang,50.0,0.0,0.5,0.5,0.76,0.6032,0.9
1,,NativeLanguage,GermanLang,50.0,0.0,0.58,0.5526,0.84,0.6667,0.9
1,,NativeLanguage,KoreanLang,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,NativeLanguage,PolishLang,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
1,,NativeLanguage,TeluguLang,50.0,0.0,0.5,0.5,0.68,0.5763,0.86
1,,Priority,Performance,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
1,,Priority,Portability,50.0,0.0,0.46,0.4688,0.6,0.5263,0.82
1,,Priority,Scalability,50.0,0.0,0.52,0.5185,0.56,0.5385,0.72
1,,Priority,SecurityPriority,50.0,0.0,0.54,0.6,0.24,0.3429,0.38
1,,Priority,Testability,50.0,0.0,0.58,0.5526,0.84,0.6667,0.86
1,,Race,Asian,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
1,,Race,Latino,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
1,,Race,MiddleEasternOrNorthAfrican,50.0,0.0,0.52,0.5128,0.8,0.625,0.88
