k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
2,1,Gender|Race,NonBinary|Latino,50.0,0.0,0.54,0.525,0.84,0.6462,0.9
2,10,Gender|Seniority,Woman|Senior,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,100,Domain|Priority,Embedded|SecurityPriority,50.0,0.0,0.52,0.5238,0.44,0.4783,0.6
2,101,Domain|Standard,DevOps|SecurityGatePassed,50.0,0.0,0.52,0.5238,0.44,0.4783,0.6
2,102,Domain|Module,Embedded|APIModule,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,103,Priority|Standard,Portability|MergeApproved,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,104,Priority|Module,SecurityPriority|AuthenticationModule,50.0,0.0,0.52,0.5556,0.2,0.2941,0.36
2,105,Standard|Module,MergeApproved|FrontendUIModule,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,11,Gender|Domain,Woman|Embedded,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
2,12,Gender|Priority,TwoSpirit|Testability,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
2,13,Gender|Standard,PreferNotToSay|PeerApproved,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,14,Gender|Module,Demigender|APIModule,50.0,0.0,0.5,0.5,0.8,0.6154,0.98
2,15,Race|Ethnicity,MiddleEasternOrNorthAfrican|OtherMixed,50.0,0.0,0.52,0.5128,0.8,0.625,0.92
2,16,Race|Nationality,NativeHawaiian|Russian,50.0,0.0,0.54,0.5238,0.88,0.6567,0.94
2,17,Race|Culture,White|FrenchCulture,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,18,Race|NativeLanguage,NativeHawaiian|KoreanLang,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
2,19,Race|AgeRange,MiddleEasternOrNorthAfrican|MiddleAged,50.0,0.0,0.54,0.525,0.84,0.6462,0.94
2,2,Gender|Ethnicity,Demigender|BlackCaribbean,50.0,0.0,0.52,0.5116,0.88,0.6471,0.92
2,20,Race|ReviewStyle,MiddleEasternOrNorthAfrican|Concise,50.0,0.0,0.58,0.5526,0.84,0.6667,0.9
2,21,Race|Role,White|Reviewer,50.0,0.0,0.48,0.4848,0.64,0.5517,0.84
2,22,Race|Goal,White|FastDelivery,50.0,0.0,0.5,0.5,0.72,0.5902,0.9
2,23,Race|Seniority,Asian|Staff,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,24,Race|Domain,White|Embedded,50.0,0.0,0.48,0.4848,0.64,0.5517,0.84
2,25,Race|Priority,White|Scalability,50.0,0.0,0.44,0.4516,0.56,0.5,0.8
2,26,Race|Standard,MiddleEasternOrNorthAfrican|MergeApproved,50.0,0.0,0.5,0.5,0.8,0.6154,0.9
2,27,Race|Module,MiddleEasternOrNorthAfrican|AuthenticationModule,50.0,0.0,0.52,0.5143,0.72,0.6,0.84
2,28,Ethnicity|Nationality,AsianBangladeshi|Danish,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
2,29,Ethnicity|Culture,WhiteIrish|IndianCulture,50.0,0.0,0.58,0.5526,0.84,0.6667,0.9
2,3,Gender|Nationality,PreferNotToSay|Danish,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,30,Ethnicity|NativeLanguage,WhiteIrish|EnglishLang,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,31,Ethnicity|AgeRange,OtherMixed|YoungAdult,50.0,0.0,0.52,0.5128,0.8,0.625,0.88
2,32,Ethnicity|ReviewStyle,BlackCaribbean|Nitpicky,50.0,0.0,0.54,0.5208,1.0,0.6849,0.82
2,33,Ethnicity|Role,BlackCaribbean|CodeOwner,50.0,0.0,0.56,0.5405,0.8,0.6452,0.92
2,34,Ethnicity|Goal,BlackCaribbean|WellTestedCode,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
2,35,Ethnicity|Seniority,BlackCaribbean|Senior,50.0,0.0,0.54,0.5238,0.88,0.6567,0.9
2,36,Ethnicity|Domain,BlackCaribbean|PlatformEng,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
2,37,Ethnicity|Priority,BlackCaribbean|Testability,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
2,38,Ethnicity|Standard,WhiteIrish|MergeApproved,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,39,Ethnicity|Module,AsianChinese|FrontendUIModule,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
2,4,Gender|Culture,TwoSpirit|ThaiCulture,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,40,Nationality|Culture,Danish|IndianCulture,50.0,0.0,0.56,0.5385,0.84,0.6562,0.88
2,41,Nationality|NativeLanguage,Russian|GermanLang,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
2,42,Nationality|AgeRange,Russian|YoungAdult,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,43,Nationality|ReviewStyle,Danish|Supportive,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
2,44,Nationality|Role,Danish|QAChecker,50.0,0.0,0.5,0.5,0.8,0.6154,0.94
2,45,Nationality|Goal,Saudi|WellTestedCode,50.0,0.0,0.52,0.5128,0.8,0.625,0.92
2,46,Nationality|Seniority,Saudi|Senior,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
2,47,Nationality|Domain,Ethiopian|DevOps,50.0,0.0,0.54,0.525,0.84,0.6462,0.94
2,48,Nationality|Priority,Austrian|Scalability,50.0,0.0,0.48,0.4848,0.64,0.5517,0.84
2,49,Nationality|Standard,Danish|SecurityGatePassed,50.0,0.0,0.52,0.5238,0.44,0.4783,0.6
2,5,Gender|NativeLanguage,NonBinary|PolishLang,50.0,0.0,0.58,0.5526,0.84,0.6667,0.9
2,50,Nationality|Module,Danish|APIModule,50.0,0.0,0.54,0.5278,0.76,0.623,0.9
2,51,Culture|NativeLanguage,GermanCulture|EnglishLang,50.0,0.0,0.52,0.5143,0.72,0.6,0.84
2,52,Culture|AgeRange,GermanCulture|Elderly,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
2,53,Culture|ReviewStyle,ThaiCulture|Concise,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
2,54,Culture|Role,ThaiCulture|Reviewer,50.0,0.0,0.54,0.5278,0.76,0.623,0.86
2,55,Culture|Goal,IndianCulture|MaintainableCode,50.0,0.0,0.56,0.5366,0.88,0.6667,0.92
2,56,Culture|Seniority,IndianCulture|Senior,50.0,0.0,0.54,0.525,0.84,0.6462,0.94
2,57,Culture|Domain,FrenchCulture|Mobile,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
2,58,Culture|Priority,GermanCulture|Portability,50.0,0.0,0.5,0.5,0.68,0.5763,0.86
