k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
3,1,Gender|Race|Ethnicity,NonBinary|Latino|WhiteIrish,50.0,0.0,0.54,0.525,0.84,0.6462,0.9
3,10,Gender|Race|Domain,Woman|MiddleEasternOrNorthAfrican|DevOps,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
3,100,Race|Ethnicity|Domain,White|BlackCaribbean|Mobile,50.0,0.0,0.52,0.5135,0.76,0.6129,0.88
3,101,Race|Ethnicity|Priority,White|BlackCaribbean|Performance,50.0,0.0,0.6,0.5641,0.88,0.6875,0.88
3,102,Race|Ethnicity|Standard,Asian|BlackCaribbean|PeerApproved,50.0,0.0,0.54,0.5238,0.88,0.6567,0.9
3,103,Race|Ethnicity|Module,White|AsianBangladeshi|DatabaseModule,50.0,0.0,0.5,0.5,0.68,0.5763,0.82
3,104,Race|Nationality|Culture,MiddleEasternOrNorthAfrican|Saudi|ThaiCulture,50.0,0.0,0.5,0.5,0.8,0.6154,0.9
3,105,Race|Nationality|NativeLanguage,Latino|Danish|KoreanLang,50.0,0.0,0.58,0.55,0.88,0.6769,0.9
3,106,Race|Nationality|AgeRange,MiddleEasternOrNorthAfrican|Danish|Elderly,50.0,0.0,0.54,0.525,0.84,0.6462,0.94
3,107,Race|Nationality|ReviewStyle,Asian|Ethiopian|Concise,50.0,0.0,0.54,0.5263,0.8,0.6349,0.94
3,108,Race|Nationality|Role,Latino|Russian|Reviewer,50.0,0.0,0.54,0.5263,0.8,0.6349,0.94
3,109,Race|Nationality|Goal,White|Russian|ReadableCode,50.0,0.0,0.6,0.561,0.92,0.697,0.88
3,11,Gender|Race|Priority,TwoSpirit|NativeHawaiian|Testability,50.0,0.0,0.6,0.5641,0.88,0.6875,0.88
3,110,Race|Nationality|Seniority,Latino|Ethiopian|Mid,50.0,0.0,0.58,0.5526,0.84,0.6667,0.9
3,111,Race|Nationality|Domain,Asian|Russian|Backend,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
3,112,Race|Nationality|Priority,Latino|Russian|Scalability,50.0,0.0,0.58,0.5526,0.84,0.6667,0.9
3,113,Race|Nationality|Standard,Asian|Ethiopian|StyleGuideFollowed,50.0,0.0,0.52,0.5111,0.92,0.6571,0.88
3,114,Race|Nationality|Module,Asian|Austrian|UserProfileModule,50.0,0.0,0.58,0.55,0.88,0.6769,0.9
3,115,Race|Culture|NativeLanguage,Asian|ThaiCulture|GermanLang,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
3,116,Race|Culture|AgeRange,NativeHawaiian|GermanCulture|MiddleAged,50.0,0.0,0.52,0.5122,0.84,0.6364,0.92
3,117,Race|Culture|ReviewStyle,Latino|IndianCulture|Collaborative,50.0,0.0,0.56,0.5366,0.88,0.6667,0.92
3,118,Race|Culture|Role,Asian|IndianCulture|Triager,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
3,119,Race|Culture|Goal,White|EgyptianCulture|WellDocumentedCode,50.0,0.0,0.58,0.5476,0.92,0.6866,0.9
3,12,Gender|Race|Standard,PreferNotToSay|NativeHawaiian|CIPassed,50.0,0.0,0.52,0.5122,0.84,0.6364,0.96
3,120,Race|Culture|Seniority,MiddleEasternOrNorthAfrican|GermanCulture|Intern,50.0,0.0,0.54,0.5263,0.8,0.6349,0.86
3,121,Race|Culture|Domain,Latino|IndianCulture|PlatformEng,50.0,0.0,0.54,0.525,0.84,0.6462,0.9
3,122,Race|Culture|Priority,MiddleEasternOrNorthAfrican|IndianCulture|Testability,50.0,0.0,0.52,0.5128,0.8,0.625,0.88
3,123,Race|Culture|Standard,NativeHawaiian|ThaiCulture|PeerApproved,50.0,0.0,0.5,0.5,0.88,0.6377,0.94
3,124,Race|Culture|Module,Asian|IndianCulture|APIModule,50.0,0.0,0.56,0.5405,0.8,0.6452,0.84
3,125,Race|NativeLanguage|AgeRange,NativeHawaiian|KoreanLang|LateCareerAdult,50.0,0.0,0.52,0.5116,0.88,0.6471,0.92
3,126,Race|NativeLanguage|ReviewStyle,MiddleEasternOrNorthAfrican|GermanLang|Nitpicky,50.0,0.0,0.56,0.5319,1.0,0.6944,0.84
3,127,Race|NativeLanguage|Role,NativeHawaiian|TeluguLang|Reviewer,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
3,128,Race|NativeLanguage|Goal,NativeHawaiian|TeluguLang|WellTestedCode,50.0,0.0,0.56,0.5385,0.84,0.6562,0.88
3,129,Race|NativeLanguage|Seniority,MiddleEasternOrNorthAfrican|EnglishLang|Staff,50.0,0.0,0.54,0.5238,0.88,0.6567,0.9
3,13,Gender|Race|Module,NonBinary|NativeHawaiian|DatabaseModule,50.0,0.0,0.58,0.5526,0.84,0.6667,0.9
3,130,Race|NativeLanguage|Domain,NativeHawaiian|TeluguLang|DevOps,50.0,0.0,0.58,0.55,0.88,0.6769,0.9
3,131,Race|NativeLanguage|Priority,NativeHawaiian|GermanLang|Testability,50.0,0.0,0.58,0.55,0.88,0.6769,0.9
3,132,Race|NativeLanguage|Standard,NativeHawaiian|GermanLang|StyleGuideFollowed,50.0,0.0,0.52,0.5111,0.92,0.6571,0.88
3,133,Race|NativeLanguage|Module,White|KoreanLang|UserProfileModule,50.0,0.0,0.48,0.4872,0.76,0.5938,0.96
3,134,Race|AgeRange|ReviewStyle,MiddleEasternOrNorthAfrican|Aged|BigPicture,50.0,0.0,0.54,0.5263,0.8,0.6349,0.94
3,135,Race|AgeRange|Role,White|Aged|QAChecker,50.0,0.0,0.52,0.5128,0.8,0.625,0.88
3,136,Race|AgeRange|Goal,MiddleEasternOrNorthAfrican|MiddleAged|FastDelivery,50.0,0.0,0.48,0.4872,0.76,0.5938,0.92
3,137,Race|AgeRange|Seniority,Latino|MiddleAged|Mid,50.0,0.0,0.54,0.525,0.84,0.6462,0.94
3,138,Race|AgeRange|Domain,Asian|Aged|DevOps,50.0,0.0,0.52,0.5128,0.8,0.625,0.96
3,139,Race|AgeRange|Priority,MiddleEasternOrNorthAfrican|LateCareerAdult|Performance,50.0,0.0,0.5,0.5,0.84,0.6269,0.9
3,14,Gender|Ethnicity|Nationality,PreferNotToSay|WhiteIrish|Austrian,50.0,0.0,0.58,0.5526,0.84,0.6667,0.9
3,140,Race|AgeRange|Standard,Latino|MiddleAged|StyleGuideFollowed,50.0,0.0,0.52,0.5111,0.92,0.6571,0.88
3,141,Race|AgeRange|Module,Asian|MiddleAged|DatabaseModule,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
3,142,Race|ReviewStyle|Role,MiddleEasternOrNorthAfrican|Nitpicky|CodeOwner,50.0,0.0,0.52,0.5102,1.0,0.6757,0.84
3,143,Race|ReviewStyle|Goal,Latino|Nitpicky|FastDelivery,50.0,0.0,0.56,0.5319,1.0,0.6944,0.84
3,144,Race|ReviewStyle|Seniority,MiddleEasternOrNorthAfrican|BigPicture|Mid,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
3,145,Race|ReviewStyle|Domain,Asian|Collaborative|Backend,50.0,0.0,0.56,0.5405,0.8,0.6452,0.92
3,146,Race|ReviewStyle|Priority,White|Nitpicky|Scalability,50.0,0.0,0.56,0.5319,1.0,0.6944,0.88
3,147,Race|ReviewStyle|Standard,Asian|Nitpicky|CIPassed,50.0,0.0,0.56,0.5319,1.0,0.6944,0.84
3,148,Race|ReviewStyle|Module,Latino|Collaborative|AuthenticationModule,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
3,149,Race|Role|Goal,Asian|SoftwareReviewer|MaintainableCode,50.0,0.0,0.58,0.55,0.88,0.6769,0.9
3,15,Gender|Ethnicity|Culture,Demigender|WhiteIrish|FrenchCulture,50.0,0.0,0.52,0.5122,0.84,0.6364,0.92
3,150,Race|Role|Seniority,Latino|Reviewer|Mid,50.0,0.0,0.6,0.5641,0.88,0.6875,0.88
3,151,Race|Role|Domain,MiddleEasternOrNorthAfrican|Triager|DevOps,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
3,152,Race|Role|Priority,White|CodeOwner|Performance,50.0,0.0,0.56,0.5429,0.76,0.6333,0.84
3,153,Race|Role|Standard,Latino|SoftwareReviewer|StyleGuideFollowed,50.0,0.0,0.54,0.5217,0.96,0.6761,0.86
3,154,Race|Role|Module,White|SoftwareReviewer|AuthenticationModule,50.0,0.0,0.46,0.4688,0.6,0.5263,0.82
3,155,Race|Goal|Seniority,Latino|MaintainableCode|Mid,50.0,0.0,0.56,0.5349,0.92,0.6765,0.92
3,156,Race|Goal|Domain,Latino|ReadableCode|PlatformEng,50.0,0.0,0.6,0.5641,0.88,0.6875,0.88
3,157,Race|Goal|Priority,Latino|FastDelivery|Testability,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
3,158,Race|Goal|Standard,MiddleEasternOrNorthAfrican|WellTestedCode|StyleGuideFollowed,50.0,0.0,0.56,0.5349,0.92,0.6765,0.84
3,159,Race|Goal|Module,White|MaintainableCode|UserProfileModule,50.0,0.0,0.58,0.5476,0.92,0.6866,0.9
3,16,Gender|Ethnicity|NativeLanguage,TwoSpirit|WhiteIrish|TeluguLang,50.0,0.0,0.54,0.5263,0.8,0.6349,0.9
3,160,Race|Seniority|Domain,Latino|Junior|PlatformEng,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
3,161,Race|Seniority|Priority,White|Mid|Performance,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
3,162,Race|Seniority|Standard,Latino|Mid|SecurityGatePassed,50.0,0.0,0.52,0.5152,0.68,0.5862,0.84
3,163,Race|Seniority|Module,MiddleEasternOrNorthAfrican|Staff|AuthenticationModule,50.0,0.0,0.5,0.5,0.72,0.5902,0.9
3,164,Race|Domain|Priority,Latino|Backend|Scalability,50.0,0.0,0.56,0.5385,0.84,0.6562,0.92
3,165,Race|Domain|Standard,White|DevOps|SecurityGatePassed,50.0,0.0,0.42,0.4286,0.48,0.4528,0.74
3,166,Race|Domain|Module,Asian|Mobile|FrontendUIModule,50.0,0.0,0.48,0.4865,0.72,0.5806,0.92
3,167,Race|Priority|Standard,Latino|Performance|CIPassed,50.0,0.0,0.52,0.5143,0.72,0.6,0.88
3,168,Race|Priority|Module,Asian|Portability|FrontendUIModule,50.0,0.0,0.5,0.5,0.68,0.5763,0.86
3,169,Race|Standard|Module,Asian|StyleGuideFollowed|UserProfileModule,50.0,0.0,0.54,0.5217,0.96,0.6761,0.86
3,17,Gender|Ethnicity|AgeRange,Demigender|OtherMixed|Elderly,50.0,0.0,0.54,0.5238,0.88,0.6567,0.94
3,170,Ethnicity|Nationality|Culture,BlackCaribbean|Russian|FrenchCulture,50.0,0.0,0.52,0.5116,0.88,0.6471,0.92
3,171,Ethnicity|Nationality|NativeLanguage,WhiteIrish|Ethiopian|KoreanLang,50.0,0.0,0.54,0.525,0.84,0.6462,0.94
3,172,Ethnicity|Nationality|AgeRange,BlackCaribbean|Danish|YoungAdult,50.0,0.0,0.52,0.5116,0.88,0.6471,0.92
3,173,Ethnicity|Nationality|ReviewStyle,AsianBangladeshi|Danish|BigPicture,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
3,174,Ethnicity|Nationality|Role,AsianBangladeshi|Danish|Reviewer,50.0,0.0,0.56,0.5405,0.8,0.6452,0.88
3,175,Ethnicity|Nationality|Goal,BlackCaribbean|Ethiopian|WellDocumentedCode,50.0,0.0,0.52,0.5111,0.92,0.6571,0.92
3,176,Ethnicity|Nationality|Seniority,WhiteIrish|Saudi|Intern,50.0,0.0,0.54,0.525,0.84,0.6462,0.94
3,177,Ethnicity|Nationality|Domain,WhiteIrish|Saudi|PlatformEng,50.0,0.0,0.52,0.5122,0.84,0.6364,0.96
