k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
2,1,Gender|Race,NonBinary|Latino,50.0,0.0,0.44,0.2857,0.08,0.125,0.92
2,10,Gender|Seniority,Woman|Senior,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,100,Domain|Priority,Embedded|SecurityPriority,50.0,0.0,0.46,0.25,0.04,0.069,0.94
2,101,Domain|Standard,DevOps|SecurityGatePassed,50.0,0.0,0.52,0.6667,0.08,0.1429,0.88
2,102,Domain|Module,Embedded|APIModule,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
2,103,Priority|Standard,Portability|MergeApproved,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
2,104,Priority|Module,SecurityPriority|AuthenticationModule,50.0,0.0,0.52,1.0,0.04,0.0769,0.88
2,105,Standard|Module,MergeApproved|FrontendUIModule,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,11,Gender|Domain,Woman|Embedded,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
2,12,Gender|Priority,TwoSpirit|Testability,50.0,0.0,0.5,0.5,0.16,0.2424,0.86
2,13,Gender|Standard,PreferNotToSay|PeerApproved,50.0,0.0,0.5,0.5,0.12,0.1935,0.9
2,14,Gender|Module,Demigender|APIModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
2,15,Race|Ethnicity,MiddleEasternOrNorthAfrican|OtherMixed,50.0,0.0,0.52,0.6,0.12,0.2,0.92
2,16,Race|Nationality,NativeHawaiian|Russian,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
2,17,Race|Culture,White|FrenchCulture,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
2,18,Race|NativeLanguage,NativeHawaiian|KoreanLang,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
2,19,Race|AgeRange,MiddleEasternOrNorthAfrican|MiddleAged,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
2,2,Gender|Ethnicity,Demigender|BlackCaribbean,50.0,0.0,0.48,0.4286,0.12,0.1875,0.88
2,20,Race|ReviewStyle,MiddleEasternOrNorthAfrican|Concise,50.0,0.0,0.44,0.2857,0.08,0.125,0.92
