k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
4,1,Gender|Race|Ethnicity|Nationality,NonBinary|Latino|WhiteIrish|Austrian,50.0,0.0,0.42,0.25,0.08,0.1212,0.94
4,10,Gender|Race|Ethnicity|Priority,NonBinary|NativeHawaiian|AsianBangladeshi|Performance,50.0,0.0,0.44,0.3333,0.12,0.1765,0.92
4,100,Gender|Ethnicity|NativeLanguage|AgeRange,Demigender|AsianBangladeshi|TeluguLang|Elderly,50.0,0.0,0.42,0.25,0.08,0.1212,0.94
4,1000,Nationality|ReviewStyle|Standard|Module,Austrian|Nitpicky|CIPassed|FrontendUIModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
4,1001,Nationality|Role|Goal|Seniority,Saudi|QAChecker|WellDocumentedCode|Junior,50.0,0.0,0.5,0.5,0.24,0.3243,0.86
4,1002,Nationality|Role|Goal|Domain,Danish|SoftwareReviewer|MaintainableCode|DevOps,50.0,0.0,0.5,0.5,0.12,0.1935,0.9
4,1003,Nationality|Role|Goal|Priority,Saudi|Triager|WellDocumentedCode|Performance,50.0,0.0,0.5,0.5,0.12,0.1935,0.9
4,1004,Nationality|Role|Goal|Standard,Danish|Reviewer|WellDocumentedCode|CIPassed,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1005,Nationality|Role|Goal|Module,Danish|CodeOwner|WellDocumentedCode|AuthenticationModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
4,1006,Nationality|Role|Seniority|Domain,Ethiopian|QAChecker|Junior|Embedded,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
4,1007,Nationality|Role|Seniority|Priority,Danish|Triager|Staff|Testability,50.0,0.0,0.48,0.3333,0.04,0.0714,0.88
4,1008,Nationality|Role|Seniority|Standard,Ethiopian|QAChecker|Junior|CIPassed,50.0,0.0,0.44,0.2857,0.08,0.125,0.88
4,1009,Nationality|Role|Seniority|Module,Saudi|SoftwareReviewer|Junior|APIModule,50.0,0.0,0.46,0.3333,0.08,0.129,0.86
