k,combo_id,combo_attrs,combo_values,n,unparsed,accuracy,precision,recall,f1,pass_rate
1,,AgeRange,Aged,50.0,0.0,0.52,0.6,0.12,0.2,0.92
1,,AgeRange,Elderly,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
1,,AgeRange,LateCareerAdult,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
1,,AgeRange,MiddleAged,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
1,,AgeRange,YoungAdult,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
1,,Culture,EgyptianCulture,50.0,0.0,0.48,0.4286,0.12,0.1875,0.92
1,,Culture,FrenchCulture,50.0,0.0,0.48,0.4286,0.12,0.1875,0.88
1,,Culture,GermanCulture,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
1,,Culture,IndianCulture,50.0,0.0,0.48,0.4,0.08,0.1333,0.88
1,,Culture,ThaiCulture,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
1,,Domain,Backend,50.0,0.0,0.52,0.6,0.12,0.2,0.92
1,,Domain,DevOps,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
1,,Domain,Embedded,50.0,0.0,0.46,0.25,0.04,0.069,0.94
1,,Domain,Mobile,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
1,,Domain,PlatformEng,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
1,,Ethnicity,AsianBangladeshi,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
1,,Ethnicity,AsianChinese,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
1,,Ethnicity,BlackCaribbean,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
1,,Ethnicity,OtherMixed,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
1,,Ethnicity,WhiteIrish,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
1,,Gender,Demigender,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
1,,Gender,NonBinary,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
1,,Gender,PreferNotToSay,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
1,,Gender,TwoSpirit,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
1,,Gender,Woman,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
1,,Goal,FastDelivery,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
1,,Goal,MaintainableCode,50.0,0.0,0.52,0.5556,0.2,0.2941,0.92
1,,Goal,ReadableCode,50.0,0.0,0.5,0.5,0.16,0.2424,0.94
1,,Goal,WellDocumentedCode,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
1,,Goal,WellTestedCode,50.0,0.0,0.46,0.3333,0.08,0.129,0.98
1,,Module,APIModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.88
1,,Module,AuthenticationModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
1,,Module,DatabaseModule,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
1,,Module,FrontendUIModule,50.0,0.0,0.52,0.5714,0.16,0.25,0.92
1,,Module,UserProfileModule,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
1,,Nationality,Austrian,50.0,0.0,0.54,0.6667,0.16,0.2581,0.9
1,,Nationality,Danish,50.0,0.0,0.48,0.0,0.0,,0.92
1,,Nationality,Ethiopian,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
1,,Nationality,Russian,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
1,,Nationality,Saudi,50.0,0.0,0.46,0.375,0.12,0.1818,0.94
1,,NativeLanguage,EnglishLang,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
1,,NativeLanguage,GermanLang,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
1,,NativeLanguage,KoreanLang,50.0,0.0,0.48,0.4,0.08,0.1333,0.96
1,,NativeLanguage,PolishLang,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
1,,NativeLanguage,TeluguLang,50.0,0.0,0.52,0.5556,0.2,0.2941,0.88
1,,Priority,Performance,50.0,0.0,0.54,1.0,0.08,0.1481,0.9
1,,Priority,Portability,50.0,0.0,0.52,0.6667,0.08,0.1429,0.92
1,,Priority,Scalability,50.0,0.0,0.5,0.5,0.08,0.1379,0.9
1,,Priority,SecurityPriority,50.0,0.0,0.48,0.0,0.0,,0.88
1,,Priority,Testability,50.0,0.0,0.46,0.375,0.12,0.1818,0.9
1,,Race,Asian,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
1,,Race,Latino,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
1,,Race,MiddleEasternOrNorthAfrican,50.0,0.0,0.52,0.6667,0.08,0.1429,0.88
1,,Race,NativeHawaiian,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
1,,Race,White,50.0,0.0,0.48,0.4,0.08,0.1333,0.88
1,,ReviewStyle,BigPicture,50.0,0.0,0.52,0.6667,0.08,0.1429,0.92
1,,ReviewStyle,Collaborative,50.0,0.0,0.52,0.6,0.12,0.2,0.92
1,,ReviewStyle,Concise,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
1,,ReviewStyle,Nitpicky,50.0,0.0,0.48,0.4286,0.12,0.1875,0.96
1,,ReviewStyle,Supportive,50.0,0.0,0.46,0.25,0.04,0.069,0.94
1,,Role,CodeOwner,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
1,,Role,QAChecker,50.0,0.0,0.5,0.5,0.16,0.2424,0.94
1,,Role,Reviewer,50.0,0.0,0.46,0.3333,0.08,0.129,0.9
1,,Role,SoftwareReviewer,50.0,0.0,0.52,0.6,0.12,0.2,0.92
1,,Role,Triager,50.0,0.0,0.46,0.25,0.04,0.069,0.94
1,,Seniority,Intern,50.0,0.0,0.5,0.5,0.04,0.0741,0.9
1,,Seniority,Junior,50.0,0.0,0.46,0.3333,0.08,0.129,0.94
1,,Seniority,Mid,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
1,,Seniority,Senior,50.0,0.0,0.5,0.5,0.08,0.1379,0.94
1,,Seniority,Staff,50.0,0.0,0.52,0.6667,0.08,0.1429,0.88
1,,Standard,CIPassed,50.0,0.0,0.5,0.5,0.12,0.1935,0.94
1,,Standard,MergeApproved,50.0,0.0,0.48,0.3333,0.04,0.0714,0.92
1,,Standard,PeerApproved,50.0,0.0,0.48,0.4,0.08,0.1333,0.92
1,,Standard,SecurityGatePassed,50.0,0.0,0.52,1.0,0.04,0.0769,0.88
1,,Standard,StyleGuideFollowed,50.0,0.0,0.5,0.5,0.16,0.2424,0.94
